,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_penalty,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.00399994850159,0.000500082969666,0.714681440443,0.807440531071,1,l1,"{'penalty': 'l1', 'C': 1}",1,0.614973262032,0.844827586207,0.82183908046,0.770053475936,0.000999927520752,0.000500082969666,0.103365821667,0.0373870551355
1,0.00349998474121,0.000500082969666,0.714681440443,0.807440531071,1,l2,"{'penalty': 'l2', 'C': 1}",1,0.614973262032,0.844827586207,0.82183908046,0.770053475936,0.000499963760376,0.000500082969666,0.103365821667,0.0373870551355
2,0.00849997997284,0.000499963760376,0.711911357341,0.81031409429,2,l1,"{'penalty': 'l1', 'C': 2}",3,0.609625668449,0.850574712644,0.82183908046,0.770053475936,0.00150001049042,0.000499963760376,0.106037884209,0.0402606183539
3,0.00299990177155,0.0,0.711911357341,0.807440531071,2,l2,"{'penalty': 'l2', 'C': 2}",3,0.609625668449,0.844827586207,0.82183908046,0.770053475936,0.00100004673004,0.0,0.106037884209,0.0373870551355
4,0.0129998922348,0.0,0.706371191136,0.81031409429,3,l1,"{'penalty': 'l1', 'C': 3}",6,0.598930481283,0.850574712644,0.82183908046,0.770053475936,0.00299990177155,0.0,0.111382009293,0.0402606183539
5,0.00399994850159,0.000499963760376,0.709141274238,0.81031409429,3,l2,"{'penalty': 'l2', 'C': 3}",5,0.604278074866,0.850574712644,0.82183908046,0.770053475936,0.0019998550415,0.000499963760376,0.108709946751,0.0402606183539
6,0.0155000686646,0.000999927520752,0.689750692521,0.813187657508,4,l1,"{'penalty': 'l1', 'C': 4}",14,0.566844919786,0.85632183908,0.82183908046,0.770053475936,0.00449991226196,0.0,0.127414384545,0.0431341815723
7,0.00300014019012,0.000499963760376,0.706371191136,0.81031409429,4,l2,"{'penalty': 'l2', 'C': 4}",6,0.598930481283,0.850574712644,0.82183908046,0.770053475936,0.00100004673004,0.000499963760376,0.111382009293,0.0402606183539
8,0.0174999237061,0.000499963760376,0.678670360111,0.813187657508,5,l1,"{'penalty': 'l1', 'C': 5}",15,0.545454545455,0.85632183908,0.82183908046,0.770053475936,0.00550007820129,0.000499963760376,0.138102634713,0.0431341815723
9,0.00399994850159,0.0,0.703601108033,0.81031409429,5,l2,"{'penalty': 'l2', 'C': 5}",8,0.593582887701,0.850574712644,0.82183908046,0.770053475936,0.000999927520752,0.0,0.114054071835,0.0402606183539
10,0.0189999341965,0.000499963760376,0.678670360111,0.816061220727,6,l1,"{'penalty': 'l1', 'C': 6}",15,0.545454545455,0.862068965517,0.82183908046,0.770053475936,0.00699985027313,0.000499963760376,0.138102634713,0.0460077447907
11,0.00349998474121,0.000499963760376,0.703601108033,0.813187657508,6,l2,"{'penalty': 'l2', 'C': 6}",8,0.593582887701,0.85632183908,0.82183908046,0.770053475936,0.000499963760376,0.000499963760376,0.114054071835,0.0431341815723
12,0.0230000019073,0.000499963760376,0.678670360111,0.816061220727,7,l1,"{'penalty': 'l1', 'C': 7}",15,0.545454545455,0.862068965517,0.82183908046,0.770053475936,0.00600004196167,0.000499963760376,0.138102634713,0.0460077447907
13,0.00299990177155,0.000499963760376,0.698060941828,0.813187657508,7,l2,"{'penalty': 'l2', 'C': 7}",10,0.582887700535,0.85632183908,0.82183908046,0.770053475936,0.00100004673004,0.000499963760376,0.119398196919,0.0431341815723
14,0.0224999189377,0.000499963760376,0.678670360111,0.818934783945,8,l1,"{'penalty': 'l1', 'C': 8}",15,0.545454545455,0.867816091954,0.82183908046,0.770053475936,0.005499958992,0.000499963760376,0.138102634713,0.0488813080091
15,0.00400006771088,0.0,0.695290858726,0.813187657508,8,l2,"{'penalty': 'l2', 'C': 8}",11,0.577540106952,0.85632183908,0.82183908046,0.770053475936,0.00199997425079,0.0,0.122070259461,0.0431341815723
16,0.0269999504089,0.000999927520752,0.678670360111,0.818934783945,9,l1,"{'penalty': 'l1', 'C': 9}",15,0.545454545455,0.867816091954,0.82183908046,0.770053475936,0.00699996948242,0.0,0.138102634713,0.0488813080091
17,0.00349998474121,0.000499963760376,0.692520775623,0.813187657508,9,l2,"{'penalty': 'l2', 'C': 9}",12,0.572192513369,0.85632183908,0.82183908046,0.770053475936,0.000499963760376,0.000499963760376,0.124742322003,0.0431341815723
18,0.0314999818802,0.0,0.678670360111,0.818934783945,10,l1,"{'penalty': 'l1', 'C': 10}",15,0.545454545455,0.867816091954,0.82183908046,0.770053475936,0.00650012493134,0.0,0.138102634713,0.0488813080091
19,0.00449991226196,0.0,0.692520775623,0.813187657508,10,l2,"{'penalty': 'l2', 'C': 10}",12,0.572192513369,0.85632183908,0.82183908046,0.770053475936,0.00150012969971,0.0,0.124742322003,0.0431341815723
